epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,30134.7,1.09082,4.08999,0.35863,0.96881,1.28525,0.84315,0.77236,0.86934,0.63688,0.7885,0.66967,0.70794,0.3632,0.96065,3.25896,0.34345,0.80062,1.19767,0.005149,0.005149,0.005149
51,30736.4,1.08361,4.08625,0.35805,0.96767,1.28235,0.84113,0.77188,0.86937,0.6384,0.78893,0.66877,0.70719,0.3645,0.95841,3.24992,0.34275,0.79848,1.19526,0.00505,0.00505,0.00505
52,31337.7,1.08047,4.06189,0.35716,0.96229,1.28077,0.8407,0.7722,0.86995,0.6388,0.79079,0.66947,0.70887,0.36698,0.9565,3.23886,0.342,0.7966,1.19309,0.004951,0.004951,0.004951
53,31938.8,1.08212,4.05361,0.35693,0.9632,1.28048,0.84408,0.77188,0.87092,0.63984,0.79136,0.66955,0.70929,0.36897,0.95422,3.22835,0.34129,0.79468,1.19093,0.004852,0.004852,0.004852
54,32541,1.08058,4.05107,0.35589,0.95871,1.27799,0.84308,0.77475,0.87114,0.64038,0.79048,0.67302,0.71172,0.37076,0.95216,3.21761,0.34057,0.79257,1.1887,0.004753,0.004753,0.004753
55,33142.7,1.07898,4.03686,0.35645,0.95687,1.2756,0.84312,0.77588,0.87189,0.64086,0.79087,0.67223,0.71118,0.37239,0.9504,3.2063,0.3399,0.79015,1.18679,0.004654,0.004654,0.004654
56,33744.3,1.07562,4.01221,0.35498,0.95511,1.27583,0.84055,0.77846,0.87228,0.6413,0.79236,0.67349,0.71342,0.37426,0.94889,3.19611,0.33923,0.78762,1.185,0.004555,0.004555,0.004555
57,34345.9,1.0721,4.00713,0.35482,0.95208,1.26968,0.84094,0.77912,0.87278,0.64221,0.79215,0.67506,0.7145,0.37637,0.94789,3.18453,0.33846,0.78499,1.18336,0.004456,0.004456,0.004456
58,34947.9,1.06982,3.99378,0.3541,0.94489,1.26962,0.84066,0.77975,0.87336,0.6428,0.79451,0.67554,0.71635,0.3779,0.94649,3.17475,0.33759,0.78321,1.18156,0.004357,0.004357,0.004357
59,35549.9,1.07013,4.0006,0.3537,0.94675,1.26665,0.84262,0.77967,0.87381,0.6436,0.79762,0.67727,0.71793,0.37954,0.94516,3.1653,0.33684,0.78117,1.17996,0.004258,0.004258,0.004258
60,36151.2,1.06466,3.9722,0.35254,0.94163,1.26548,0.84278,0.78061,0.87438,0.64429,0.79919,0.67679,0.71854,0.38151,0.94374,3.1551,0.33604,0.77911,1.1781,0.004159,0.004159,0.004159
61,36752.4,1.0629,3.95428,0.35239,0.93872,1.26194,0.84198,0.78164,0.87498,0.645,0.80446,0.67805,0.72253,0.38354,0.94225,3.14731,0.3354,0.77745,1.17619,0.00406,0.00406,0.00406
62,37353.7,1.06313,3.95327,0.35122,0.94126,1.26211,0.84134,0.78353,0.87559,0.64588,0.8057,0.67763,0.72402,0.38507,0.94106,3.13811,0.33478,0.77551,1.17455,0.003961,0.003961,0.003961
63,37955.7,1.05949,3.93721,0.35027,0.93543,1.26092,0.83977,0.78469,0.87626,0.64691,0.8108,0.67464,0.72569,0.38582,0.93961,3.1284,0.33403,0.77364,1.17256,0.003862,0.003862,0.003862
64,38557.5,1.06049,3.92107,0.35025,0.93144,1.25822,0.84292,0.78164,0.87657,0.6472,0.81259,0.67601,0.72766,0.38804,0.93812,3.11913,0.33346,0.77244,1.17091,0.003763,0.003763,0.003763
65,39159.2,1.05863,3.91046,0.35004,0.9283,1.25785,0.84825,0.77794,0.87695,0.64775,0.81407,0.67617,0.72878,0.39005,0.9366,3.10965,0.3329,0.77036,1.16894,0.003664,0.003664,0.003664
66,39760.9,1.05597,3.91073,0.34882,0.92731,1.25621,0.8482,0.7776,0.87783,0.64847,0.81561,0.67549,0.72957,0.39207,0.93579,3.10118,0.33225,0.76892,1.16771,0.003565,0.003565,0.003565
67,40366,1.05475,3.88264,0.34826,0.9249,1.25475,0.84829,0.77944,0.87799,0.64921,0.81521,0.67854,0.73221,0.39371,0.93431,3.09116,0.33165,0.76714,1.16555,0.003466,0.003466,0.003466
68,40979,1.05307,3.87466,0.34767,0.92379,1.25515,0.84673,0.77925,0.87857,0.64995,0.81348,0.68089,0.73291,0.39546,0.93307,3.08225,0.33106,0.7656,1.16405,0.003367,0.003367,0.003367
69,41581.4,1.05012,3.86913,0.34775,0.91855,1.25283,0.84479,0.78061,0.87882,0.65103,0.81493,0.68026,0.7319,0.39677,0.93212,3.07541,0.33055,0.76386,1.16272,0.003268,0.003268,0.003268
70,42182.7,1.04917,3.85261,0.34656,0.9178,1.24964,0.84498,0.78227,0.8792,0.65175,0.81513,0.68435,0.73525,0.3987,0.93109,3.06583,0.33003,0.76169,1.16139,0.003169,0.003169,0.003169
71,42783.8,1.04317,3.82676,0.34515,0.91404,1.2471,0.84552,0.78275,0.87949,0.65264,0.81708,0.68309,0.73664,0.40026,0.92985,3.05754,0.32939,0.76001,1.15996,0.00307,0.00307,0.00307
72,43384.7,1.04389,3.83666,0.34528,0.91399,1.24522,0.85314,0.77865,0.87985,0.65313,0.81893,0.68388,0.73737,0.40224,0.92886,3.04996,0.32874,0.75852,1.15861,0.002971,0.002971,0.002971
73,43992.6,1.0378,3.79164,0.34464,0.90693,1.24283,0.85537,0.77818,0.88016,0.65338,0.82096,0.6853,0.73836,0.40399,0.92834,3.04095,0.32808,0.75627,1.1577,0.002872,0.002872,0.002872
74,44600,1.03856,3.77625,0.34311,0.90544,1.2412,0.86199,0.77236,0.88032,0.65407,0.81964,0.68561,0.73864,0.40446,0.92734,3.03309,0.32756,0.75491,1.15662,0.002773,0.002773,0.002773
75,45202.2,1.03522,3.78289,0.34314,0.90495,1.24017,0.86322,0.77346,0.88129,0.65497,0.81971,0.68787,0.73965,0.40625,0.9266,3.02546,0.32698,0.75347,1.15561,0.002674,0.002674,0.002674
76,45804.3,1.03562,3.7793,0.34307,0.90419,1.23978,0.86222,0.77535,0.8815,0.65524,0.81722,0.68955,0.74004,0.40815,0.9258,3.01795,0.32658,0.75178,1.15484,0.002575,0.002575,0.002575
77,46405.8,1.03294,3.75942,0.34205,0.89641,1.2375,0.86302,0.77464,0.88173,0.65572,0.81861,0.69033,0.74187,0.40921,0.9245,3.01078,0.32595,0.75053,1.15354,0.002476,0.002476,0.002476
78,47008,1.02941,3.73949,0.34166,0.89405,1.23647,0.86412,0.77739,0.88191,0.6559,0.81852,0.69159,0.74219,0.41013,0.92333,3.00546,0.32541,0.74975,1.15247,0.002377,0.002377,0.002377
79,47609.8,1.0274,3.72096,0.34061,0.89216,1.23359,0.85783,0.78212,0.88172,0.65671,0.81826,0.69111,0.74359,0.41162,0.92236,2.99855,0.3248,0.74823,1.15145,0.002278,0.002278,0.002278
80,48221.9,1.02449,3.71051,0.33982,0.89152,1.23256,0.86501,0.77708,0.88203,0.65755,0.81431,0.69411,0.74301,0.4125,0.921,2.99162,0.3243,0.74674,1.15014,0.002179,0.002179,0.002179
81,48823,1.02659,3.70417,0.33914,0.88766,1.23173,0.86254,0.77912,0.88217,0.65824,0.81551,0.69427,0.74341,0.41383,0.9202,2.98492,0.32381,0.74563,1.149,0.00208,0.00208,0.00208
82,49424,1.02213,3.68955,0.33816,0.88234,1.22867,0.86271,0.77955,0.88275,0.65879,0.81896,0.6927,0.74426,0.41523,0.91943,2.97924,0.32331,0.74374,1.14803,0.001981,0.001981,0.001981
83,50025.4,1.01995,3.67672,0.33811,0.88326,1.22814,0.86283,0.77933,0.8832,0.65988,0.81791,0.69441,0.74524,0.41636,0.91859,2.97302,0.32273,0.74245,1.14695,0.001882,0.001882,0.001882
84,50625.9,1.0173,3.66544,0.33744,0.87627,1.22543,0.86367,0.7809,0.88365,0.66001,0.81636,0.69636,0.7454,0.417,0.9177,2.96683,0.32221,0.74098,1.1459,0.001783,0.001783,0.001783
85,51240.6,1.01504,3.65107,0.33697,0.87754,1.22624,0.86351,0.78117,0.88382,0.66046,0.81933,0.69443,0.74729,0.41813,0.91641,2.95948,0.3217,0.73958,1.14469,0.001684,0.001684,0.001684
86,51843.4,1.01307,3.63828,0.33594,0.87527,1.22454,0.86501,0.7807,0.88436,0.66138,0.81953,0.69301,0.74625,0.41916,0.91569,2.95214,0.32117,0.73767,1.14371,0.001585,0.001585,0.001585
87,52444.6,1.00826,3.61104,0.33432,0.86901,1.22079,0.85946,0.78605,0.88501,0.66204,0.81944,0.69411,0.74668,0.42016,0.91482,2.94659,0.32064,0.73676,1.14272,0.001486,0.001486,0.001486
88,53045.5,1.005,3.60361,0.33404,0.86665,1.21857,0.85837,0.78622,0.8851,0.66261,0.81945,0.69381,0.74819,0.42125,0.91369,2.93943,0.32008,0.73549,1.14152,0.001387,0.001387,0.001387
89,53646.6,1.00388,3.58549,0.33299,0.8631,1.21765,0.8582,0.78763,0.8855,0.6631,0.81927,0.69443,0.74873,0.42256,0.9124,2.93378,0.31953,0.73447,1.14041,0.001288,0.001288,0.001288
90,54248.1,1.00587,3.5761,0.33244,0.86311,1.21554,0.85495,0.79077,0.88616,0.66346,0.81902,0.69632,0.74951,0.4237,0.91141,2.92702,0.31896,0.73308,1.13934,0.001189,0.001189,0.001189
91,54870.6,0.94534,3.06346,0.32429,0.75471,1.17691,0.85879,0.78999,0.88659,0.6643,0.81757,0.69847,0.7509,0.42489,0.91021,2.91887,0.31837,0.7309,1.13787,0.00109,0.00109,0.00109
92,55459.6,0.93684,3.02313,0.32221,0.74386,1.17062,0.86232,0.78786,0.88733,0.66506,0.81795,0.69957,0.75312,0.42623,0.909,2.91192,0.31772,0.72918,1.13682,0.000991,0.000991,0.000991
93,56049.1,0.93215,3.00071,0.32051,0.73626,1.16858,0.86316,0.79014,0.88835,0.66582,0.81796,0.70245,0.75462,0.4272,0.90779,2.90516,0.317,0.72698,1.13585,0.000892,0.000892,0.000892
94,56637.7,0.92836,2.98073,0.31977,0.7328,1.16735,0.86219,0.79062,0.889,0.6668,0.82007,0.70319,0.75548,0.42828,0.90647,2.89848,0.31639,0.7245,1.13479,0.000793,0.000793,0.000793
95,57226.7,0.92292,2.95119,0.31903,0.72688,1.16145,0.86276,0.79282,0.89031,0.66741,0.82188,0.7034,0.75672,0.42954,0.90582,2.89177,0.31577,0.72232,1.13396,0.000694,0.000694,0.000694
96,57816.1,0.91865,2.93383,0.31788,0.72002,1.15835,0.86332,0.79355,0.89088,0.66835,0.82176,0.70332,0.75764,0.43086,0.90464,2.88511,0.31508,0.7201,1.13275,0.000595,0.000595,0.000595
97,58405.5,0.9145,2.92045,0.31657,0.71644,1.15561,0.86682,0.79156,0.89146,0.66878,0.82433,0.70356,0.7579,0.43233,0.90297,2.87742,0.3145,0.71813,1.13092,0.000496,0.000496,0.000496
98,58995.3,0.90995,2.89257,0.3161,0.71137,1.15241,0.86933,0.79172,0.89216,0.66973,0.82249,0.70608,0.75867,0.43353,0.9016,2.87115,0.31385,0.71571,1.12973,0.000397,0.000397,0.000397
99,59584.4,0.9056,2.86621,0.3151,0.70597,1.15187,0.87276,0.79043,0.89298,0.67048,0.81804,0.71143,0.75927,0.43461,0.90078,2.86616,0.31325,0.71332,1.12877,0.000298,0.000298,0.000298
100,60173.7,0.90155,2.85143,0.31463,0.70208,1.14872,0.87274,0.79137,0.89358,0.67099,0.81661,0.71096,0.75752,0.43516,0.89999,2.86143,0.31268,0.71139,1.12792,0.000199,0.000199,0.000199
